Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,9,361120,361120,643,643,0,100,0,109.036925,3.433891,5.574868,0.019415,5.555453,169.573872,5.347352,0.520022,
2,10.1.1.1,49154,10.1.1.3,9,361120,361120,643,643,0,100,0,114.572715,3.444424,5.579226,0.017044,5.562182,178.183515,5.364486,0.519393,
Average,,,,,361120,361120,643,643,0,100.000000,0.000000,111.804820,3.439157,,,5.558818,173.878694,5.355919,0.519708,
