Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,9,238664,235136,413,407,6,98,1,126.975157,3.072345,12.973371,0.071195,12.902175,311.977887,7.566502,0.145796,
2,10.1.1.1,49154,10.1.1.3,9,126528,121236,217,208,9,95,4,66.337881,2.319709,10.141906,0.069023,10.072883,318.927885,11.202899,0.096287,
3,10.1.1.1,49155,10.1.1.4,9,206244,201540,359,351,8,97,2,100.717775,3.211698,14.339370,0.053159,14.286211,286.943020,9.174286,0.112858,
4,10.1.1.1,49156,10.1.1.5,9,212960,208256,370,362,8,97,2,95.543096,3.240078,14.513806,0.048482,14.465324,263.930939,8.975069,0.115175,
5,10.1.1.1,49157,10.1.1.6,9,214724,209432,373,364,9,97,2,100.638556,3.257173,14.502802,0.050869,14.451933,276.478022,8.972452,0.115933,
6,10.1.1.1,49158,10.1.1.7,9,214256,210728,375,369,6,98,1,119.573562,3.201584,13.336386,0.073483,13.262903,324.046070,8.698370,0.127108,
7,10.1.1.1,49159,10.1.1.8,9,256456,249988,443,432,11,97,2,133.776172,3.320343,13.803141,0.025815,13.777326,309.666667,7.703016,0.145159,
8,10.1.1.1,49160,10.1.1.9,9,211324,207208,369,362,7,98,1,116.278967,3.146544,13.563444,0.055575,13.507870,321.209945,8.714681,0.122718,
9,10.1.1.1,49161,10.1.1.10,9,201272,196568,352,344,8,97,2,111.561268,2.904906,13.194309,0.082506,13.111804,324.305233,8.466472,0.119933,
Average,,,,,209158,204454,363,355,8,97.798838,2.201162,107.933604,3.074931,,,13.315381,304.165074,8.830416,0.122330,
