Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,4000,336640,333484,320,317,3,99,0,123.108894,0.763810,2.002976,0.093695,1.909280,388.353312,2.414557,1.397318,
2,10.1.1.1,49154,10.1.1.3,4000,336640,107304,320,102,218,31,68,34.991829,0.408763,1.995454,0.057902,1.937552,343.049020,4.039604,0.443050,
3,10.1.1.1,49155,10.1.1.4,4000,336640,37872,320,36,284,11,88,7.625579,0.376576,0.583227,0.037232,0.545995,211.805556,10.742857,0.554906,
4,10.1.1.1,49156,10.1.1.5,4000,336640,36820,320,35,285,10,89,7.300758,0.383739,0.571546,0.020172,0.551373,208.571429,11.264706,0.534230,
5,10.1.1.1,49157,10.1.1.6,4000,336640,336640,320,320,0,100,0,1.223150,0.007207,3.598712,2.010919,1.587793,3.821875,0.021944,1.696140,
Average,,,,,336640,170424,320,162,158,50.625000,49.375000,34.850042,0.388019,,,1.306399,231.120238,5.696734,0.925129,
