Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,9,224528,220412,385,378,7,98,1,88.050409,2.945072,10.439343,0.040429,10.398914,232.936508,7.811671,0.169565,
2,10.1.1.1,49154,10.1.1.3,9,238792,232324,409,398,11,97,2,100.485205,3.048014,10.191044,0.038245,10.152799,252.474874,7.677582,0.183062,
3,10.1.1.1,49155,10.1.1.4,9,259188,252720,444,433,11,97,2,109.805925,3.129191,10.219600,0.035376,10.184225,253.591224,7.243056,0.198519,
4,10.1.1.1,49156,10.1.1.5,9,357612,350688,618,605,13,97,2,158.277232,3.490680,8.874798,0.023307,8.851491,261.614876,5.778146,0.316953,
5,10.1.1.1,49157,10.1.1.6,9,277084,270028,474,462,12,97,2,120.406000,3.117070,10.005948,0.033186,9.972762,260.616883,6.761388,0.216612,
Average,,,,,271440,265234,466,455,10,97.682403,2.317597,115.404954,3.146006,,,9.912038,252.246873,7.054368,0.216942,
