Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,4000,336640,324016,320,308,12,96,3,125.349204,0.508955,1.999838,0.448561,1.551277,406.977273,1.654723,1.670964,
2,10.1.1.1,49154,10.1.1.3,4000,336640,82056,320,78,242,24,75,31.565086,0.181606,1.991755,0.348458,1.643297,404.679487,2.350649,0.399470,
3,10.1.1.1,49155,10.1.1.4,4000,336640,10520,320,10,310,3,96,2.548433,0.251920,0.469088,0.192521,0.276567,254.800000,27.888889,0.304302,
4,10.1.1.1,49156,10.1.1.5,4000,336640,12624,320,12,308,3,96,2.669083,0.296929,0.473257,0.132805,0.340453,222.416667,26.909091,0.296640,
5,10.1.1.1,49157,10.1.1.6,4000,336640,10520,320,10,310,3,96,2.243207,0.223485,0.421111,0.160468,0.260643,224.300000,24.777778,0.322894,
6,10.1.1.1,49158,10.1.1.7,4000,336640,0,320,0,320,0,100,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,-nan,
7,10.1.1.1,49159,10.1.1.8,4000,336640,12624,320,12,308,3,96,2.301211,0.281073,0.424887,0.092033,0.332854,191.750000,25.545455,0.303412,
8,10.1.1.1,49160,10.1.1.9,4000,336640,8416,320,8,312,2,97,2.155258,0.158564,0.428758,0.229427,0.199331,269.375000,22.571429,0.337770,
9,10.1.1.1,49161,10.1.1.10,4000,336640,0,320,0,320,0,100,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,-nan,
10,10.1.1.1,49162,10.1.1.11,4000,336640,4208,320,4,316,1,98,1.565850,0.019275,0.432507,0.396782,0.035725,391.250000,6.333333,0.942315,
11,10.1.1.1,49163,10.1.1.12,4000,336640,0,320,0,320,0,100,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,-nan,
12,10.1.1.1,49164,10.1.1.13,4000,336640,7364,320,7,313,2,97,2.072073,0.127200,0.436553,0.268990,0.167563,296.000000,21.166667,0.351581,
13,10.1.1.1,49165,10.1.1.14,4000,336640,12624,320,12,308,3,96,2.427060,0.281312,0.440453,0.108561,0.331891,202.250000,25.545455,0.304292,
14,10.1.1.1,49166,10.1.1.15,4000,336640,1052,320,1,319,0,99,0.481190,0.000000,0.481190,0.481190,0.000000,481.000000,-nan,inf,
15,10.1.1.1,49167,10.1.1.16,4000,336640,12624,320,12,308,3,96,2.303900,0.359226,0.444458,0.030232,0.414226,191.916667,32.636364,0.243809,
16,10.1.1.1,49168,10.1.1.17,4000,336640,1052,320,1,319,0,99,0.485251,0.000000,0.485251,0.485251,0.000000,485.000000,-nan,inf,
17,10.1.1.1,49169,10.1.1.18,4000,336640,0,320,0,320,0,100,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,-nan,
18,10.1.1.1,49170,10.1.1.19,4000,336640,1052,320,1,319,0,99,0.489432,0.000000,0.489432,0.489432,0.000000,489.000000,-nan,inf,
19,10.1.1.1,49171,10.1.1.20,4000,336640,336640,320,320,0,100,0,1.198752,0.004207,3.598712,2.007919,1.590793,3.743750,0.012539,1.692942,
Average,,,,,336640,44073,320,41,278,13.092105,86.907895,9.466052,0.141776,,,0.376033,-nan,-nan,-nan,
