Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,4000,336640,336640,320,320,0,100,0,1.264249,0.012207,1.598712,0.015919,1.582793,3.950000,0.037618,1.701498,
2,10.1.1.1,49154,10.1.1.3,4000,336640,336640,320,320,0,100,0,1.244201,0.010207,3.598712,2.013919,1.584793,3.887500,0.031348,1.699351,
Average,,,,,336640,336640,320,320,0,100.000000,0.000000,1.254225,0.011207,,,1.583793,3.918750,0.034483,1.700425,
