Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,4000,336640,326120,320,310,10,96,3,125.802050,0.568391,2.005194,0.363895,1.641299,405.812903,1.838188,1.589570,
2,10.1.1.1,49154,10.1.1.3,4000,336640,83108,320,79,241,24,75,31.750442,0.224104,2.001082,0.308185,1.692897,401.898734,2.871795,0.392737,
3,10.1.1.1,49155,10.1.1.4,4000,336640,11572,320,11,309,3,96,2.316203,0.260981,0.436473,0.142051,0.294422,210.545455,26.000000,0.314433,
4,10.1.1.1,49156,10.1.1.5,4000,336640,13676,320,13,307,4,95,2.382458,0.297052,0.440407,0.089501,0.350905,183.230769,24.750000,0.311788,
5,10.1.1.1,49157,10.1.1.6,4000,336640,12624,320,12,308,3,96,2.404982,0.278586,0.444608,0.113207,0.331401,200.333333,25.272727,0.304742,
6,10.1.1.1,49158,10.1.1.7,4000,336640,4208,320,4,316,1,98,1.634928,0.028131,0.448354,0.416485,0.031869,408.500000,9.333333,1.056338,
7,10.1.1.1,49159,10.1.1.8,4000,336640,13676,320,13,307,4,95,2.343102,0.357260,0.452548,0.037302,0.415247,180.230769,29.750000,0.263477,
8,10.1.1.1,49160,10.1.1.9,4000,336640,10520,320,10,310,3,96,2.398360,0.229244,0.456609,0.173379,0.283231,239.800000,25.444444,0.297143,
9,10.1.1.1,49161,10.1.1.10,4000,336640,1052,320,1,319,0,99,0.476759,0.000000,0.476759,0.476759,0.000000,476.000000,-nan,inf,
10,10.1.1.1,49162,10.1.1.11,4000,336640,5260,320,5,315,1,98,1.803701,0.053957,0.460752,0.352073,0.108678,360.600000,13.250000,0.387198,
11,10.1.1.1,49163,10.1.1.12,4000,336640,1052,320,1,319,0,99,0.472626,0.000000,0.472626,0.472626,0.000000,472.000000,-nan,inf,
12,10.1.1.1,49164,10.1.1.13,4000,336640,9468,320,9,311,2,97,2.368002,0.200509,0.464709,0.208908,0.255800,263.111111,25.000000,0.296106,
13,10.1.1.1,49165,10.1.1.14,4000,336640,13676,320,13,307,4,95,2.520951,0.337862,0.468865,0.073275,0.395590,193.846154,28.083333,0.276569,
14,10.1.1.1,49166,10.1.1.15,4000,336640,336640,320,320,0,100,0,1.262421,0.012207,3.598712,2.015919,1.582793,3.943750,0.037618,1.701498,
Average,,,,,336640,60189,320,57,262,17.879464,82.120536,12.852642,0.203449,,,0.527438,285.703784,-nan,inf,
