Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,4000,336640,336640,320,320,0,100,0,1.220443,0.032603,15.953712,0.036315,15.917397,3.812500,0.100313,0.169193,
2,10.1.1.1,49154,10.1.1.3,4000,336640,336640,320,320,0,100,0,2.512805,0.111117,15.957750,0.032501,15.925249,7.850000,0.347962,0.169110,
3,10.1.1.1,49155,10.1.1.4,4000,336640,336640,320,320,0,100,0,3.795964,0.137997,15.961516,0.028601,15.932915,11.859375,0.429467,0.169029,
4,10.1.1.1,49156,10.1.1.5,4000,336640,336640,320,320,0,100,0,5.077742,0.144554,15.965295,0.020172,15.945122,15.865625,0.451411,0.168899,
5,10.1.1.1,49157,10.1.1.6,4000,336640,336640,320,320,0,100,0,5.714570,0.161522,17.953712,2.024146,15.929566,17.856250,0.504702,0.169064,
Average,,,,,336640,336640,320,320,0,100.000000,0.000000,3.664305,0.117558,,,15.930050,11.448750,0.366771,0.169059,
