Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,4000,336640,336640,320,320,0,100,0,1.252913,0.053612,15.953712,0.057324,15.896388,3.912500,0.166144,0.169417,
2,10.1.1.1,49154,10.1.1.3,4000,336640,336640,320,320,0,100,0,2.531659,0.125523,15.957577,0.052860,15.904717,7.909375,0.391850,0.169328,
3,10.1.1.1,49155,10.1.1.4,4000,336640,336640,320,320,0,100,0,3.813553,0.152573,15.961380,0.049035,15.912345,11.915625,0.476489,0.169247,
4,10.1.1.1,49156,10.1.1.5,4000,336640,336640,320,320,0,100,0,5.095820,0.172957,15.965692,0.040445,15.925247,15.921875,0.539185,0.169110,
5,10.1.1.1,49157,10.1.1.6,4000,336640,336640,320,320,0,100,0,6.388391,0.188394,15.969775,0.044961,15.924814,19.962500,0.589342,0.169115,
6,10.1.1.1,49158,10.1.1.7,4000,336640,336640,320,320,0,100,0,7.700148,0.238031,15.973783,0.061386,15.912397,24.062500,0.746082,0.169247,
7,10.1.1.1,49159,10.1.1.8,4000,336640,336640,320,320,0,100,0,8.944292,0.236465,15.977915,0.022824,15.955091,27.950000,0.739812,0.168794,
8,10.1.1.1,49160,10.1.1.9,4000,336640,336640,320,320,0,100,0,9.109884,0.232205,17.953712,2.035375,15.918337,28.465625,0.727273,0.169184,
Average,,,,,336640,336640,320,320,0,100.000000,0.000000,5.604583,0.174970,,,15.918667,17.512500,0.547022,0.169180,
