Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,9,224808,220692,392,385,7,98,1,88.509841,2.924830,10.453887,0.040429,10.413458,229.893506,7.614583,0.169544,
2,10.1.1.1,49154,10.1.1.3,9,238792,232324,409,398,11,97,2,100.611618,3.021170,10.191126,0.038245,10.152880,252.791457,7.609572,0.183061,
3,10.1.1.1,49155,10.1.1.4,9,259188,252720,444,433,11,97,2,109.946665,3.011244,10.188913,0.035376,10.153538,253.916859,6.969907,0.199119,
4,10.1.1.1,49156,10.1.1.5,9,357612,350688,618,605,13,97,2,158.277232,3.490680,8.874798,0.023307,8.851491,261.614876,5.778146,0.316953,
5,10.1.1.1,49157,10.1.1.6,9,277084,270028,474,462,12,97,2,120.410918,3.112152,10.010866,0.033186,9.977680,260.627706,6.750542,0.216506,
Average,,,,,271496,265290,467,456,10,97.689345,2.310655,115.551255,3.112015,,,9.909809,251.768881,6.944550,0.217036,
