Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,9,218092,213976,381,374,7,98,1,109.815475,3.172726,12.589648,0.065025,12.524623,293.622995,8.504021,0.136675,
2,10.1.1.1,49154,10.1.1.3,9,210832,207304,368,362,6,98,1,109.974084,3.223151,12.272586,0.062889,12.209697,303.795580,8.927978,0.135829,
3,10.1.1.1,49155,10.1.1.4,9,147696,142404,253,244,9,96,3,75.920234,2.179493,10.450088,0.049687,10.400400,311.147541,8.967078,0.109537,
4,10.1.1.1,49156,10.1.1.5,9,243440,239912,424,418,6,98,1,127.882433,3.202848,12.233352,0.045368,12.187984,305.937799,7.678657,0.157474,
5,10.1.1.1,49157,10.1.1.6,9,175332,170040,300,291,9,97,3,87.415605,2.476081,10.221052,0.047533,10.173520,300.395189,8.537931,0.133712,
6,10.1.1.1,49158,10.1.1.7,9,207280,202576,359,351,8,97,2,95.180331,3.013528,12.914381,0.077042,12.837339,271.168091,8.608571,0.126242,
7,10.1.1.1,49159,10.1.1.8,9,262304,255836,457,446,11,97,2,135.801033,3.104446,11.895850,0.025871,11.869979,304.486547,6.975281,0.172426,
8,10.1.1.1,49160,10.1.1.9,9,219636,214932,380,372,8,97,2,95.235346,3.153879,13.027612,0.054095,12.973517,256.008065,8.498652,0.132536,
Average,,,,,210576,205872,365,357,8,97.809719,2.190281,104.653067,2.940769,,,11.897132,293.320226,8.337271,0.138054,
